0,1,2,3,4,5,6,7,8
Yes,Sun Sep 29,Wild Goose,0,Ice Dragons,0,,,https://www.dmyha.com/game/show/26536790?subseason=623115
Yes,Sun Sep 29,Knights,0,Bandits,0,,,https://www.dmyha.com/game/show/26536853?subseason=623115
Yes,Sun Sep 29,Vicious Squirrels,0,Voodoo,0,,,https://www.dmyha.com/game/show/26536860?subseason=623115
Yes,Sun Sep 29,Benders,0,Scorpions,0,,,https://www.dmyha.com/game/show/26536865?subseason=623115
Yes,Sun Sep 29,DSM Whalers,0,Wolverines,0,,,https://www.dmyha.com/game/show/26536872?subseason=623115
Yes,Sun Sep 29,Hooligans,0,The Greys,0,,,https://www.dmyha.com/game/show/26536879?subseason=623115
,Sun Oct  6,Benders,3,The Greys,1,,,https://www.dmyha.com/game/show/26536976?subseason=623115
,Sun Oct  6,Scorpions,7,Wolverines,2,,,https://www.dmyha.com/game/show/26537000?subseason=623115
,Sun Oct  6,Hooligans,4,DSM Whalers,4,,,https://www.dmyha.com/game/show/26537003?subseason=623115
Yes,Sun Oct  6,Vicious Squirrels,0,Wild Goose,0,,,https://www.dmyha.com/game/show/26537048?subseason=623115
Yes,Sun Oct  6,Ice Dragons,0,Bandits,0,,,https://www.dmyha.com/game/show/26537079?subseason=623115
Yes,Sun Oct  6,Voodoo,0,Knights,0,,,https://www.dmyha.com/game/show/26537092?subseason=623115
,Sun Oct 13,Benders,6,Scorpions,4,,,https://www.dmyha.com/game/show/26537198?subseason=623115
,Sun Oct 13,Wild Goose,2,Ice Dragons,8,,,https://www.dmyha.com/game/show/26537205?subseason=623115
,Sun Oct 13,Voodoo,1,Knights,2,,,https://www.dmyha.com/game/show/26537210?subseason=623115
,Sun Oct 13,DSM Whalers,3,Wolverines,0,,,https://www.dmyha.com/game/show/26537216?subseason=623115
,Sun Oct 13,Hooligans,2,The Greys,1,,,https://www.dmyha.com/game/show/26537229?subseason=623115
,Sun Oct 13,Bandits,1,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/26537238?subseason=623115
,Sun Oct 20,Bandits,1,Wild Goose,5,,,https://www.dmyha.com/game/show/26567683?subseason=623115
,Sun Oct 20,Scorpions,2,Hooligans,2,,,https://www.dmyha.com/game/show/26567686?subseason=623115
,Sun Oct 20,The Greys,1,DSM Whalers,3,,,https://www.dmyha.com/game/show/26567688?subseason=623115
,Sun Oct 20,Ice Dragons,3,Voodoo,1,,,https://www.dmyha.com/game/show/26567689?subseason=623115
,Sun Oct 20,Knights,2,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/26567691?subseason=623115
,Sun Oct 20,Wolverines,3,Benders,4,,,https://www.dmyha.com/game/show/26567693?subseason=623115
,Sun Oct 27,DSM Whalers,2,Benders,3,,,https://www.dmyha.com/game/show/26567702?subseason=623115
,Sun Oct 27,Voodoo,1,Wild Goose,3,,,https://www.dmyha.com/game/show/26567705?subseason=623115
,Sun Oct 27,Wolverines,0,Hooligans,8,,,https://www.dmyha.com/game/show/26567709?subseason=623115
,Sun Oct 27,Bandits,3,Knights,3,,,https://www.dmyha.com/game/show/26567711?subseason=623115
,Sun Oct 27,The Greys,0,Scorpions,10,,,https://www.dmyha.com/game/show/26567718?subseason=623115
,Sun Oct 27,Vicious Squirrels,2,Ice Dragons,2,,,https://www.dmyha.com/game/show/26567720?subseason=623115
,Sun Nov  3,Wild Goose,2,Knights,4,,,https://www.dmyha.com/game/show/26567724?subseason=623115
,Sun Nov  3,Wolverines,2,The Greys,0,,,https://www.dmyha.com/game/show/26567727?subseason=623115
,Sun Nov  3,Ice Dragons,1,Bandits,2,,,https://www.dmyha.com/game/show/26567729?subseason=623115
,Sun Nov  3,Benders,5,Hooligans,2,,,https://www.dmyha.com/game/show/26567732?subseason=623115
,Sun Nov  3,Voodoo,1,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/26567733?subseason=623115
,Sun Nov  3,Scorpions,5,DSM Whalers,2,,,https://www.dmyha.com/game/show/26567738?subseason=623115
,Sun Nov 10,Vicious Squirrels,11,Wild Goose,1,,,https://www.dmyha.com/game/show/26567740?subseason=623115
,Sun Nov 10,Bandits,7,Voodoo,1,,,https://www.dmyha.com/game/show/26567743?subseason=623115
,Sun Nov 10,Benders,6,The Greys,2,,,https://www.dmyha.com/game/show/26567744?subseason=623115
,Sun Nov 10,Knights,3,Ice Dragons,3,,,https://www.dmyha.com/game/show/26567745?subseason=623115
,Sun Nov 10,DSM Whalers,3,Hooligans,2,,,https://www.dmyha.com/game/show/26567746?subseason=623115
