0,1,2,3,4,5,6,7,8,9
2017-18,,Sun Oct  1,Stampede,3,Wanderers,4,,,https://www.dmyha.com/game/show/19291475?subseason=453890
2017-18,,Sun Oct  1,Wild Goose,2,Knights,2,,,https://www.dmyha.com/game/show/19267014?subseason=453890
2017-18,,Sun Oct  1,Vicious Squirrels,3,Jesters,1,,,https://www.dmyha.com/game/show/19291547?subseason=453890
2017-18,,Sun Oct  1,Wolverines,1,Benders,5,,,https://www.dmyha.com/game/show/19291662?subseason=453890
2017-18,,Sun Oct  1,Bandits,5,Blues,5,,,https://www.dmyha.com/game/show/19267015?subseason=453890
2017-18,,Sun Oct  8,Blues,3,Knights,2,,,https://www.dmyha.com/game/show/19291778?subseason=453890
2017-18,,Sun Oct  8,Wanderers,4,Benders,7,,,https://www.dmyha.com/game/show/19291784?subseason=453890
2017-18,,Sun Oct  8,Vicious Squirrels,1,Wolverines,5,,,https://www.dmyha.com/game/show/19291786?subseason=453890
2017-18,,Sun Oct  8,Wild Goose,1,Bandits,3,,,https://www.dmyha.com/game/show/19291787?subseason=453890
2017-18,,Sun Oct  8,Stampede,4,Jesters,8,,,https://www.dmyha.com/game/show/19291790?subseason=453890
2017-18,,Sun Oct 15,Benders,3,Jesters,4,,,https://www.dmyha.com/game/show/19292939?subseason=453890
2017-18,,Sun Oct 15,Bandits,4,Knights,1,,,https://www.dmyha.com/game/show/19292941?subseason=453890
2017-18,,Sun Oct 15,Stampede,3,Vicious Squirrels,6,,,https://www.dmyha.com/game/show/19292944?subseason=453890
2017-18,,Sun Oct 15,Wanderers,4,Wolverines,4,,,https://www.dmyha.com/game/show/19292946?subseason=453890
2017-18,,Sun Oct 15,Blues,1,Wild Goose,3,,,https://www.dmyha.com/game/show/19292947?subseason=453890
2017-18,Yes,Sun Oct 22,Wild Goose,0,Knights,0,,,https://www.dmyha.com/game/show/19292950?subseason=453890
2017-18,Yes,Sun Oct 22,Blues,0,Bandits,0,,,https://www.dmyha.com/game/show/19292951?subseason=453890
2017-18,Yes,Sun Oct 22,Vicious Squirrels,0,Wanderers,0,,,https://www.dmyha.com/game/show/19292955?subseason=453890
2017-18,Yes,Sun Oct 22,Benders,0,Wolverines,0,,,https://www.dmyha.com/game/show/19292957?subseason=453890
2017-18,Yes,Sun Oct 22,Stampede,0,Jesters,0,,,https://www.dmyha.com/game/show/19292959?subseason=453890
2017-18,,Sun Oct 29,Benders,2,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/19292961?subseason=453890
2017-18,,Sun Oct 29,Blues,0,Bandits,5,,,https://www.dmyha.com/game/show/19292965?subseason=453890
2017-18,,Sun Oct 29,Knights,1,Wild Goose,5,,,https://www.dmyha.com/game/show/19292970?subseason=453890
2017-18,,Sun Oct 29,Wolverines,3,Stampede,1,,,https://www.dmyha.com/game/show/19292972?subseason=453890
2017-18,,Sun Oct 29,Jesters,10,Wanderers,1,,,https://www.dmyha.com/game/show/19292975?subseason=453890
2017-18,,Sun Nov  5,Wolverines,5,Jesters,5,,,https://www.dmyha.com/game/show/19301041?subseason=453890
2017-18,,Sun Nov  5,Bandits,0,Wild Goose,6,,,https://www.dmyha.com/game/show/19301043?subseason=453890
2017-18,,Sun Nov  5,Benders,3,Stampede,1,,,https://www.dmyha.com/game/show/19301046?subseason=453890
2017-18,,Sun Nov  5,Knights,8,Blues,1,,,https://www.dmyha.com/game/show/19301048?subseason=453890
2017-18,,Sun Nov  5,Wanderers,5,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/19301065?subseason=453890
2017-18,,Sun Nov 12,Benders,2,Wolverines,2,,,https://www.dmyha.com/game/show/19301069?subseason=453890
2017-18,,Sun Nov 12,Wild Goose,4,Blues,1,,,https://www.dmyha.com/game/show/19301072?subseason=453890
2017-18,,Sun Nov 12,Jesters,4,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/19301074?subseason=453890
2017-18,,Sun Nov 12,Wanderers,3,Stampede,6,,,https://www.dmyha.com/game/show/19301078?subseason=453890
2017-18,,Sun Nov 12,Knights,0,Bandits,3,,,https://www.dmyha.com/game/show/19301081?subseason=453890
2017-18,,Sun Nov 19,Benders,3,Wanderers,4,,,https://www.dmyha.com/game/show/19301085?subseason=453890
2017-18,Yes,Sun Nov 19,Knights,0,Bandits,0,,,https://www.dmyha.com/game/show/19301088?subseason=453890
2017-18,Yes,Sun Nov 19,Blues,0,Wild Goose,0,,,https://www.dmyha.com/game/show/19301097?subseason=453890
2017-18,,Sun Nov 19,Jesters,3,Stampede,4,,,https://www.dmyha.com/game/show/19301101?subseason=453890
2017-18,,Sun Nov 19,Wolverines,0,Vicious Squirrels,1,,,https://www.dmyha.com/game/show/19301105?subseason=453890
2017-18,,Sun Dec  3,Jesters,6,Benders,2,,,https://www.dmyha.com/game/show/19301107?subseason=453890
